Advantageous Aardvark
Agile Alligator
Brilliant Baboon
Buzzing Bee
Booming Bison
Bright Butterfly
Creative Camel
Curious Cat
Content Caterpillar
Coy Cheetah
Clever Coyote
Delightful Deer
Dancing Dolphin
Daring Dragonfly
Elegant Eagle
Excellent Eel
Fast Falcon
Funny Finch
Fortunate Flamingo
Flying Fox
Feisty Frog
Graceful Gazelle
Gregarious Gerbil
Guffawing Giraffe
Golden Goose
Happy Hamster
Hopping Hare
Jazzy Jackal
Jumping Jellyfish
Kind Kangaroo
Likable Lemur
Laughing Leopard
Lively Llama
Loafing Lobster
Moseying Moose
Nice Nightingale
Odd Octopus
Observational Ostrich
Pleasant Panther
Peachy Parrot
Pretty Panda
Perfect Pelican
Rough Rabbit
Smart Salamander
Smooth Sand Dollar
Silly Sea Lion
Spiky Sea Urchin
Strong Sheep
Tenacious Turkey
Tall Turtle
Wild Wallaby
Wise Walrus
Warm Wasp
Yawning Yak
Zippy Zebra
